id,symbol,price_usd,vol_24h_btc,vol_24h_usd,mkt_cap_btc,mkt_cap_usd,collected_at,updated_at
1,btc,62639.024289479900000000000000000000,835131.163430032000000000000000000000,52311801230.995384000000000000000000000000,18844762.000000000000000000000000000000,1180417504647.467800000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
2,ltc,192.612585912088000000000000000000,50799.215557481600000000000000000000,3182013297.191615000000000000000000000000,212102.416087670000000000000000000000,13285888393.172934000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
5,doge,0.240233636157191000000000000000,26850.133555562000000000000000000000,1681866167.962627400000000000000000000000,506349.749002191000000000000000000000,31717254226.720295000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
19,dash,195.562279701002000000000000000000,6459.029999502940000000000000000000,404587337.025344000000000000000000000000,32447.985205212200000000000000000000,2032510133.413971400000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
44,xrp,1.155988539125800000000000000000,97576.175944215600000000000000000000,6112076455.044286000000000000000000000000,867424.529178758000000000000000000000,54334626152.518890000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
69,xmr,278.917156313798000000000000000000,4159.412514692080000000000000000000,260541541.537763860000000000000000000000,80277.531981300700000000000000000000,5028506275.676194000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
100,xlm,0.369008160840132000000000000000,13344.497983334000000000000000000000,835886333.308974000000000000000000000000,142089.283113647000000000000000000000,8900334056.230520000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
242,xem,0.176878979784223000000000000000,1118.478840861290000000000000000000,70060423.279979680000000000000000000000,25422.659338764300000000000000000000,1592450575.824030200000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
279,eth,3898.027293929610000000000000000000,365502.251739086000000000000000000000,22894704424.544205000000000000000000000000,7356749.073525940000000000000000000000,460819583908.200130000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
325,usdt,1.004669100910260000000000000000,1293135.910340510000000000000000000000,81000771697.417910000000000000000000000000,1117733.557072800000000000000000000000,70013739430.649890000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
329,dcr,122.573896204910000000000000000000,170.137140813674000000000000000000,10657224.495970387000000000000000000000,26284.694293892300000000000000000000,1646447604.316673500000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
425,waves,30.863533550724400000000000000000,2941.264531753980000000000000000000,184237940.446323280000000000000000000000,49393.257321148800000000000000000000,3093945445.075970600000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
453,etc,55.555991758628800000000000000000,56543.600446501700000000000000000000,3541835961.783066700000000000000000000000,115767.034492147000000000000000000000,7251534085.474653000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
480,neo,45.209007025030400000000000000000,4091.145042353640000000000000000000,256265333.679774900000000000000000000000,51013.465426738800000000000000000000,3195433699.956035000000000000000000000000,"2021-10-15 17:07:40","2021-10-15 17:07:40"
